id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
414,skin rashes,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,ucbeQ9oM,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Kavita Bansal,Qe4LNU4v
415,"gastric problem, back pain, indigestion",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,RdC0dfBp,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Priya Reddy,8zUEzJow
416,"ulcer, inflammation, blood impure",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,KdC737qt,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Anjali Das,YNzdWsMw
417,"gastric problem, arthritis",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,dYzDrULW,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Aditi Sharma,LGL0NI2t
418,liver problem,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,eqJjfF7a,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Rohit Gupta,BEu46bnm
419,"ulcer, blood impure",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,OSJ5em9D,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Vivek Rao,3xca0sLR
420,"constipation, gastric problem, joint pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,wo33yp5z,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Kavita Bansal,Q5DBvShA
421,psoriasis,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,eIS1yox9,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Karan Singh,GbXkkP5j
422,"skin boils, acne",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,XVMNssQX,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Kavita Bansal,zCViXohF
423,"sinus, stuffy nose, nose block",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,MRv72aqY,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Priya Reddy,OLFtt5Is
424,"acidity, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,ov8UWSXz,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Aditi Sharma,efTBlbyY
425,constipation,Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,Oa8uQeVx,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Ritu Malhotra,OczYwbRf
426,"cold, headache, allergy",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,8fVPmfRY,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Karan Singh,hTpFb72V
427,"acidity, pimples",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,79i1WeqG,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rajesh Mehta,ZtNhk7UH
428,"psoriasis, pimples",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,0LNX49KI,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rajesh Mehta,ScDgfBpp
429,"acne, skin boils",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,u3I9rsxv,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Rohit Gupta,yXOuxWjD
430,"constipation, back pain",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,h7CMf8DY,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Anjali Das,Uzh5CuHF
431,"bronchitis, respiratory issue",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,60ESUioL,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Suresh Pillai,E3Y1yqoG
432,"migraine, sinus",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,3vZXSHrg,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Ritu Malhotra,Xd0U1h1z
433,joint pain,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,yPFmnQg0,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Arjun Kapoor,KkxwB5rV
434,"skin rashes, eczema",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,7BXInccW,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Sneha Iyer,CZYzQ9xR
435,"acne, skin boils, gout",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,zxc2Nyhf,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Rohit Gupta,8qY7xBr7
436,"psoriasis, acidity, liver problem",Vaidya Seema Verma,Virechana,vaidya.seema.verma,nE9p6tDx,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Anjali Das,su9RUNNj
437,obesity,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,r2Vdocna,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Manish Agarwal,xTA1tRew
438,cough,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,5pxQjDYt,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Neha Verma,eR2Drmvv
439,allergy,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,amXZ2wnZ,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Anjali Das,Xdvy6pl1
440,"arthritis, joint pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,GXblzW4O,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Anjali Das,mjtzeEcq
441,"stuffy nose, cold",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,f4iMLNBG,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Karan Singh,finht32x
442,blood impure,Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,zIg6e662,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,i5FF9V3X
443,"constipation, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,RjPNnw8J,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Aditi Sharma,y6ENqEjV
444,"joint pain, indigestion",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,Taiz5yAS,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Manish Agarwal,IY0UAfQe
445,"psoriasis, eczema",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,Am0g476x,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Aditi Sharma,hlbnzai8
446,asthma,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,nSaF4OeY,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rohit Gupta,JX34bRpZ
447,allergy,Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,uEMc66PV,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Rajesh Mehta,Gt2OtyT1
448,"nose block, cold, allergy",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,MasevS7Y,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Sneha Iyer,KmIFB1M3
449,"bronchitis, obesity, respiratory issue",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,SZEIbkpB,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Arjun Kapoor,ZgJeDb0F
450,"sinus, nose block",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,V4h93VCy,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Suresh Pillai,lz2HPRVv
451,"kapha disorder, cough, respiratory issue",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,eiJzhk1d,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Pooja Nair,LgizXCux
452,obesity,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,y8fz1yzj,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rajesh Mehta,9p5vmcXD
453,skin boils,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,28EGbAqL,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Priya Reddy,AUaqTDgx
454,"psoriasis, liver problem, allergy",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,RCbUwk1W,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Sneha Iyer,csCawpZ3
455,"psoriasis, acidity",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,VBoC8T1r,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Vivek Rao,rTqqaYNy
456,eczema,Vaidya Seema Verma,Virechana,vaidya.seema.verma,dCjQDouW,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Neha Verma,W2n1gMGr
457,allergy,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,FD9C0pdr,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Manish Agarwal,ihPII7JO
458,"blood impure, gout",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,3LKshPgF,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Rohit Gupta,bS10YSfX
459,bronchitis,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,uCiQytnN,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Suresh Pillai,p5N0hHqL
460,"respiratory issue, asthma",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,5MX1zeHU,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Pooja Nair,LZszQIbG
461,"back pain, joint pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,KXntw1XW,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Arjun Kapoor,lKPzFevE
462,"asthma, cough",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,vsz6sMpY,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rajesh Mehta,LnYebvAx
463,"migraine, allergy",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,8UyX8Ak9,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Vivek Rao,MUvH8eu9
464,"gastric problem, indigestion",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,RWMQfHxx,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Arjun Kapoor,uozqDSHv
465,"allergy, sinus, headache",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,PstlO6FF,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Kavita Bansal,U1KPYLpX
466,"skin rashes, eczema",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,orOurlxU,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Sneha Iyer,Di9hCKoV
467,allergy,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,PwbumH1a,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Sneha Iyer,OtKmkmXR
468,"cough, asthma, obesity",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,KLzJIWsC,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Suresh Pillai,oCCgvt9I
469,bronchitis,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,NZsolKkU,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Ritu Malhotra,UaIoDxch
470,"cough, respiratory issue",Vaidya Lata More,Vamana,vaidya.lata.more,o3dnC4le,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Karan Singh,pwyIMUyY
471,acne,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,T6KH6l7z,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Manish Agarwal,q8rpMRH3
472,"cough, respiratory issue, asthma",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,Z9xCq8nT,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Neha Verma,AbK3dpbh
473,obesity,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,8qLpoQjw,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Sneha Iyer,1AcEgmTw
474,"eczema, skin rashes",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,PUEB36xB,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Aditi Sharma,xFatI0c8
475,"nose block, headache",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,efgBDVxd,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Ritu Malhotra,ADAZBvNr
476,sinus,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,HIO2PeEx,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Manish Agarwal,ki5z8Vma
477,"ulcer, blood impure, inflammation",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,DCjygu1I,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rohit Gupta,vKzcP9Md
478,"cough, kapha disorder",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,Te9uLwmJ,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Aditi Sharma,m0nWLOo5
479,pimples,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,CceYbtAN,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Manish Agarwal,N2cp8i9T
480,cough,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,6yoQhMPT,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Priya Reddy,7J2Ltzef
481,psoriasis,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,WXRcWKUB,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Suresh Pillai,r1AJD9q8
482,"cold, allergy, sinus",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,FXyreg2z,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Kavita Bansal,GG8dEgDy
483,gout,Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,zxX3y7Pq,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Neha Verma,3M9LP67V
484,"cold, sinus, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,wMdzTzLy,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Manish Agarwal,7cQBbmhP
485,"migraine, stuffy nose",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,hhzW5hxF,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Kavita Bansal,r1KFoCAL
486,"cough, respiratory issue, kapha disorder",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,Os4RwYBd,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rajesh Mehta,SqYvd4oE
487,blood impure,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,CA4RhxYK,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Rohit Gupta,g14QLBur
488,allergy,Vaidya Seema Verma,Virechana,vaidya.seema.verma,oZILYVqh,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Neha Verma,VvD1et65
489,"eczema, acidity",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,AlSLJOvU,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Pooja Nair,b33dpQZd
490,"gastric problem, joint pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,fcn6Yphe,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Manish Agarwal,jG3yggj3
491,skin rashes,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,ACu5x1rY,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Rajesh Mehta,ZOY2JxFT
492,kapha disorder,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,RW7Y3gyP,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rajesh Mehta,S0r16EAq
493,acidity,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,AEfnR9Ce,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Sneha Iyer,v5YVJsXX
494,"psoriasis, allergy, liver problem",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,D0iLGftI,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Rohit Gupta,sQtF19vN
495,constipation,Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,72NAR41Y,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Kavita Bansal,X3j2VmzZ
496,asthma,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,bgkMZ8xY,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Vivek Rao,I88D26qe
497,kapha disorder,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,93h6x3Fa,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Neha Verma,rHSS8Qjq
498,skin boils,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,sUBudSP1,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Pooja Nair,1Sppdn0r
499,"back pain, joint pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,jS6MaPdS,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Sneha Iyer,bixBys30
500,"obesity, asthma, cough",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,4JKhF8cV,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Aditi Sharma,uciLtnWh
501,"cough, obesity",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,5p0f3NnD,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Arjun Kapoor,41P7hvp9
502,psoriasis,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,G3IwIt0M,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Ritu Malhotra,DBHwdkLG
503,"inflammation, gout, skin boils",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,IIjnF5rA,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Arjun Kapoor,MON393mD
504,"stuffy nose, allergy, sinus",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,rlQVSbkY,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Priya Reddy,1dUq3tZu
505,"constipation, joint pain, arthritis",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,QmpEBsos,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Aditi Sharma,xuRn4azv
506,pimples,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,N8sbj85r,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Manish Agarwal,YkRdjEhj
507,"kapha disorder, bronchitis",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,SDlPHNAX,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Kavita Bansal,egBGPipK
508,"blood impure, acne",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,LyKpoh7J,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Priya Reddy,eHiaaepQ
509,skin rashes,Vaidya Seema Verma,Virechana,vaidya.seema.verma,uhuktWgC,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Rohit Gupta,KY7l8kW8
510,liver problem,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,6PaQlj7n,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Rajesh Mehta,e4VmQIx1
511,"allergy, skin rashes",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,r19Hu7Sk,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Sneha Iyer,HpzcN2Ux
512,"pimples, allergy",Vaidya Seema Verma,Virechana,vaidya.seema.verma,z6VEluAq,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Suresh Pillai,Yy8emKzN
513,"sinus, cold, migraine",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,Qrb5jy1z,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Kavita Bansal,Mvbz4isa
514,"eczema, allergy",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,oDOwyO8r,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Priya Reddy,Zl84soa4
515,"allergy, psoriasis, liver problem",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,lIl3qhNJ,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Suresh Pillai,Z9DslF0u
516,"migraine, stuffy nose",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,MKqnlcCu,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Arjun Kapoor,lktibJ93
517,"back pain, indigestion",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,xGCPtlDV,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Ritu Malhotra,BTU2V3sv
518,"ulcer, skin boils, acne",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,bpIdU5AQ,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Vivek Rao,eVTyacU1
519,"acne, ulcer, skin boils",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,qBQEKJRz,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Vivek Rao,GGB20c3i
520,bronchitis,Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,tc1mhSAj,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Priya Reddy,gsdTBwrH
521,"headache, cold",Vaidya Priya Nair,Nasya,vaidya.priya.nair,lBCFwByd,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Sneha Iyer,dcXrh5tu
